Country,Advisory Level
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מונגוליה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מונטנגרו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מונקו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מזרח טימור (הרפובליקה הדמוקרטית),מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מיאנמר,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מיקרונזיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מלאווי,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מלזיה,מדינה
03,רמת אזהרה
להימנע מנסיעות שאינן חיוניות,המלצה
כלל שטחי המדינה,המרחב המאוים
"בשל נוכחות של גורמי אסלאם רדיקלי בחלקים מהמדינה, לצד עוינות עמוקה לישראל מצד חלקים באוכלוסיה, מתקיים סיכון לביטחונם של ישראלים המבקרים/שוהים במדינה זו.",פירוט
,המלצות משרדי החוץ והבריאות
מלטה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מצרים,מדינה
04,רמת אזהרה
אין להגיע למדינה זו ובמקרה של שהייה יש לעזוב את המדינה,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור חשש כי גורמי טרור ינסו לפגוע בישראלים השוהים במצרים, זאת על רקע מלחמת ""חרבות ברזל"", יש להימנע מנסיעות למדינה זו ובמקרה של שהייה יש לעזוב את המדינה.",פירוט
,המלצות משרדי החוץ והבריאות
מקסיקו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מרוקו,מדינה
03,רמת אזהרה
לנקוט באמצעי זהירות מוגברים,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור חשש כי גורמי טרור ינסו לפגוע בישראלים השוהים במרוקו, זאת על רקע מלחמת ""חרבות ברזל"", יש להימנע מנסיעות שאינן חיוניות למדינה.",פירוט
,המלצות משרדי החוץ והבריאות
נאורו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
נורווגיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
ניגריה,מדינה
02/04,רמת אזהרה
רמת איום גבוהה (רמה 4) מומלץ להימנע מהגעה: צפון המדינה. איום מזדמן (רמה 2) מומלץ לנקוט באמצעי זהירות מוגברים: דרום המדינה.,המלצה
כלל שטחי המדינה,המרחב המאוים
"על רקע פעילות מתמשכת של ארגון הטרור ""בוקו חראם"", בדגש על צפון המדינה, קיים איום פוטנציאלי מתמשך במדינה כולה. יודגש, כי איום חמור יותר מתקיים בצפון המדינה.",פירוט
,המלצות משרדי החוץ והבריאות
ניו זילנד,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
ניז'ר,מדינה
03,רמת אזהרה
להימנע מנסיעות שאינן חיוניות,המלצה
כלל שטחי המדינה,המרחב המאוים
"נוכח איומי JNIM (קואליצת ארגוני טרור מוסלמים) בצפון המדינה ופעילות ארגוני טרור במערב אפריקה (ארגון ""בוקו חראם"") מדרום, ישנו איום לפיגועי חטיפה ופיגועים נגד יעדים מקומיים ומערביים, לרבות ישראלים ויהודים.",פירוט
,המלצות משרדי החוץ והבריאות
ניקרגואה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
נמיביה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
נפאל,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סאו טומה ופרינסיפ,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סודאן,מדינה
03,רמת אזהרה
להימנע מנסיעות שאינן חיוניות,המלצה
כלל שטחי המדינה,המרחב המאוים
לאור סיכון מצד גורמי טרור הפועלים בסודן קיים סיכון ממשי לביטחונם של אזרחי ישראל המבקרים/שוהים בסודן.,פירוט
,המלצות משרדי החוץ והבריאות
סוואזילנד,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סומליה,מדינה
04,רמת אזהרה
להימנע מהגעה,המלצה
כלל שטחי המדינה,המרחב המאוים
בשל איומי טרור מתמשכים בסומליה ונוכח עוינות עמוקה מצד הרחוב המוסלמי לישראל מתקיים איום טרור מוחשי על ישראלים המבקרים/שוהים במדינה זו.,פירוט
,המלצות משרדי החוץ והבריאות
סוריה,מדינה
04,רמת אזהרה
חל איסור על הגעה לסוריה,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור התבססות גורמי טרור במדינה, בדגש על איראן וחזבאללה, לצד המשך נוכחות של ארגוני ג'האד עולמי, קיים איום חמור ומתמשך על אזרחי ישראל המבקרים/שוהים בסוריה. זאת ועוד, על פי ""חוק ההסתננות"" נאסר על תושבי ישראל לבקר במדינה זו.",פירוט
,המלצות משרדי החוץ והבריאות
סורינאם,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סיירה ליאונה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סין,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סינגפור,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
מצרים (חצי האי סיני),מדינה
04,רמת אזהרה
להימנע מנסיעות שאינן חיוניות לסיני,המלצה
כלל שטחי סיני,המרחב המאוים
"לאור חשש כי גורמי טרור ינסו לפגוע בישראלים השוהים בסיני, זאת על רקע מלחמת ""חרבות ברזל"", יש להימנע מנסיעות למדינה זו ובמקרה של שהייה יש לעזוב את המדינה.",פירוט
,המלצות משרדי החוץ והבריאות
סלובניה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
"על מדינה זו לא חלה אזהרת מסע בהקשרי טרור, אך לאור השיטפונות המתחוללים במדינה, משרד החוץ פרסם המלצות לישראלים המתעדים להגיע למדינה.",פירוט
,המלצות משרדי החוץ והבריאות
סלובקיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סמואה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סן מרינו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סנגל,מדינה
01\03,רמת אזהרה
מזרח המדינה: רמת איום בינונית (רמה 3) להימנע מנסיעות שאינן חיוניות; שאר שטחי סנגל: ללא אזהרת מסע (רמה 1) מומלץ לנקוט באמצעי זהירות רגילים,המלצה
"מזרח המדינה, ראו מפה",המרחב המאוים
ארגוני טרור ממערב אפריקה ומהסהל מקיימים פעילות גם במזרח סנגל. ארגונים אלו עלולים לבצע פיגועים או חטיפות אזרחים ממדינות שונות לרבות ישראלים שישהו במרחב.,פירוט
,המלצות משרדי החוץ והבריאות
סנט וינסנט והגרנדינס,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סנט לוסיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סנט קיטס ונוויס,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
ספרד,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סרביה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
סרי לנקה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
עומאן,מדינה
03,רמת אזהרה
להימנע מנסיעות שאינן חיוניות,המלצה
כלל שטחי המדינה,המרחב המאוים
"נוכח איומי טרור פוטנציאלים, מתקיימים סיכונים לביטחונם של אזרחי ישראל המבקרים/שוהים בעומאן.",פירוט
,המלצות משרדי החוץ והבריאות
עיראק,מדינה
04,רמת אזהרה
"חל איסור על הגעה לעיראק, כולל החבל הכורדי",המלצה
כלל שטחי המדינה - כולל החבל הכורדי,המרחב המאוים
"לאור פעילות ענפה של מספר ארגוני טרור במדינה, אשר חלקם הצהירו על כוונתם לפגוע בישראל, קיים סיכון ממשי לישראלים שיבקרו/ישהו במדינה - כולל בחבל הכורדי שבצפון עיראק. זאת עוד, על פי ""חוק ההסתננות"" נאסר על תושבי ישראל לבקר במדינה זו.",פירוט
,המלצות משרדי החוץ והבריאות
ערב הסעודית,מדינה
03,רמת אזהרה
חל איסור על נסיעה,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור פעילות תשתיות טרור קיצוניות ועוינות ציבורית עמוקה לישראל מתקיים סיכון טרור חמור על כל אזרחי ישראל המבקרים/שוהים במדינה. זאת ועוד, על פי ""חוק ההסתננות"" נאסר על תושבי ישראל לבקר במדינה זו.",פירוט
,המלצות משרדי החוץ והבריאות
פאלאו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פולין,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פורטוגל,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פיג'י,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פיליפינים,מדינה
04\01,רמת אזהרה
רמת איום גבוהה (רמה 4) מומלץ להימנע מהגעה במרחב: מינדנאו וקבוצת איי סולו- דרום המדינה. ללא אזהרת מסע (רמה 1) מומלץ לנקוט באמצעי זהירות רגילים: שאר שטחי הפיליפינים.,המלצה
"כלל מינדנאו (דרום הפליפינים) וקבוצת איי סולו, ראו מפה",המרחב המאוים
"בשל נוכחות ופעילות של ארגוני טרור במרחב מינדנאו וקבוצת איי סולו, קיים סיכון לבטחונם ושלומם של ישראלים אשר יבקרו/ישהו במרחב.",פירוט
,המלצות משרדי החוץ והבריאות
פינלנד,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פנמה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פפואה ניו גיני,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פקיסטאן,מדינה
04,רמת אזהרה
להימנע מהגעה,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור נוכחות ופעילות אינטנסיבית של גורמי טרור ואסלאם קיצוני בכל רחבי פקיסטן, לצד עויינות ""הרחוב"" כלפי ישראל, מתקיים סיכון ממשי לביטחונם של ישראלים המבקרים/שוהים במדינה זו.",פירוט
,המלצות משרדי החוץ והבריאות
פרגוואי,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
פרו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
צפון מקדוניה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
צ'אד,מדינה
01\03,רמת אזהרה
רמת איום בינונית (רמה 3) מומלץ להימנע מנסיעות שאינן חיוניות: דרום מערב המדינה. ללא אזהרת מסע (רמה 1) מומלץ לנקוט באמצעי זהירות רגילים: שאר שטחי צ'אד.,המלצה
"דרום מערב צ'אד, ראו מפה",המרחב המאוים
"ארגון הטרור ""בוקו חראם"" מבצע פיגועי טרור בצ'אד, סמוך לגבולה הדרום מערבי עם ניגריה, כולל עיר הבירה נג'מה ואזור ימת צ'אד. כך, במערב צ'אד קיים סיכון לבטחונם ושלומם של ישראלים אשר יבקרו/ישהו במרחב.",פירוט
,המלצות משרדי החוץ והבריאות
צ'ילה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
צ'כיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
צרפת,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
אין מידע,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
צ'צניה (רוסיה),מדינה
04,רמת אזהרה
להימנע מהגעה,המלצה
כלל שטחי המדינה,המרחב המאוים
"בשל נוכחות של גורמי טרור בצ'צ'ניה, קיים סיכון לבטחונם ושלומם של ישראלים אשר יבקרו/ישהו במדינה.",פירוט
,המלצות משרדי החוץ והבריאות
קובה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קולומביה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קוסובו,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קוסטה ריקה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קומורוס (איי קומרוס),מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קונגו (הרפובליקה הדמוקרטית),מדינה
04\02,רמת אזהרה
"רמת איום גבוהה (רמה 4) מומלץ להימנע מהגעה: מזרח המדינה, צפון המדינה ומחוזות קסאי בדרום. איום מזדמן (רמה 2) מומלץ לנקוט באמצעי זהירות מוגברים: שאר שטחי קונגו.",המלצה
"מחוזות נורד (צפון) קיבו, סוד (דרום) קיבו, איטורי, האוט אלא, בס אלא, טנג'ניקה ושלושת מחוזות קסאי.",המרחב המאוים
"החל מ-2019 מזוהה עליה בפעילות ארגוני טרור שונים (בהם פעילי ""המדינה האסלאמית"") במספר מחוזות בחזרח, דרום וצפון קונגו. קיים סיכון לביטחונם ושלומם של ישראלים המבקרים/שוהים באזורים אלו.",פירוט
,המלצות משרדי החוץ והבריאות
קוריאה הדרומית,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קוריאה הצפונית,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קזחסטאן,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קטאר,מדינה
03,רמת אזהרה
להימנע מנסיעות שאינן חיוניות,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור עויינות הרחוב הקטארי כלפי ישראל ונוכחותם של גורמי טרור בקטאר, מתקיימים סיכונים לביטחונם של אזרחי ישראל המבקרים/שוהים בקטאר.",פירוט
,המלצות משרדי החוץ והבריאות
קייפ ורדה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קירגיזסטן,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קיריבטי,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קמבודיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קמרון,מדינה
04\01,רמת אזהרה
רמת איום גבוהה (רמה 4) מומלץ להימנע מהגעה: צפון המדינה. ללא אזהרת מסע (רמה 1) מומלץ לנקוט באמצעי זהירות רגילים: שאר שטחי המדינה.,המלצה
צפון המדינה (ראו מפה),המרחב המאוים
"ארגון הטרור ""בוקו חראם"" מבצע תקיפות כנגד יעדים שונים בצפון מערב קמרון, סמוך לגבול עם ניגריה. האיום המרכזי הינו פיגועי חטיפה לצד פיגועים ביעדים מקומיים ומערביים.",פירוט
,המלצות משרדי החוץ והבריאות
קנדה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
קניה,מדינה
01\03,רמת אזהרה
רמת איום בינונית (רמה 3) מומלץ להימנע מנסיעות שאינן חיוניות צפון ומזרח המדינה. ללא אזהרת מסע (רמה 1) מומלץ לנקוט באמצעי זהירות רגילים: שאר חלקי המדינה.,המלצה
צפון ומזרח קניה (ראו מפה),המרחב המאוים
"ארגוני הטרור האסלאמי (בהובלת אלשבאב הסומלי, המזוהה עם אלקאעדה) פועלים בקניה באזור הגבול עם סומליה ורצועת החוף, בעומק המדינה ובאזור ניירובי. לאור זאת, קיים חשש כי ישראלים יהוו יעד לפעילות של גורמי טרור.",פירוט
,המלצות משרדי החוץ והבריאות
קפריסין,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
"על קפריסין אין אזהרת מסע בהקשרי טרור, לצד זאת, על חלקה הצפוני מוחלת אזהרת מסע מטעם משרד החוץ ומומלץ להתעדכן בפרטים למתעתדים לבקר בחלקה הצפוני של קפריסין",פירוט
,המלצות משרדי החוץ והבריאות
קרואטיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
רואנדה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
רומניה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
רוסיה,מדינה
01\04,רמת אזהרה
רמת איום גבוהה (רמה 4) לא להגיע לאזור צפון הקווקז ללא אזהרת מסע (רמה 1) על שאר שטחי המדינה,המלצה
"הרפובליקות אדיגיאה, צ'צ'ניה, דאגסטן שבירתה מחצ׳קאלה, אינגושטיה, קברדינו-בלקריה, קלמיקיה, קראצ'אי - צ'רקסיה, צפון אוסטיה - אלניה, והמחוזות קרסנודאר וסטברופול שבירתו מינרלנייה וודי",המרחב המאוים
"לאור חשש כי גורמי טרור וגורמים פרו פלסטיניים ינסו לפגוע בישראלים השוהים בצפון הקווקז, זאת על רקע מלחמת ""חרבות ברזל"", יש להימנע מנסיעות למדינה זו ובמקרה של שהייה יש לעזוב את המדינה.",פירוט
,המלצות משרדי החוץ והבריאות
שוודיה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
שווייץ,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
תאילנד,מדינה
01\04,רמת אזהרה
רמת איום גבוהה (רמה 4) מומלץ להימנע מהגעה דרום המדינה (לא כולל האיים). ללא אזהרת מסע (רמה 1) מומלץ לנקוט באמצעי זהירות רגילים: שאר שטחי תאילנד.,המלצה
"מחוזות Yala, Sungkla, Pattani, Narathiwat, הנמצאים בדרום תאילנד.",המרחב המאוים
"בדרום תאילנד מתקיימת פעילות טרור של מילציות מקומיות, בפרט במחוזות ""הדרום העמוק"", הסמוכים למלזיה. בראשם עומד ארגון ה-BRN, המבצע עשרות פיגועים בשנה. לאור זאת, קיים סיכון לישראלים אשר שוהים/מבקרים במחוזות Yala, Sungkla, Pattani, Narathiwat, הנמצאים בדרום תאילנד.",פירוט
,המלצות משרדי החוץ והבריאות
תוניסיה,מדינה
03/04,רמת אזהרה
"רמת איום גבוהה (רמה 4) מומלץ להימנע מהגעה: מערב המדינה, המרחב הסמוך לגבולות עם אלג'יריה ולוב ושטחי דרום המדינה. רמת איום בינונית (רמה 3) מומלץ להימנע מנסיעות שאינן חיוניות: שאר שטחי המדינה.",המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור חשש מפעילות ארגוני טרור כנגד תיירים או סמלי שלטון במדינה, יש לנקוט באמצעי זהירות מוגברים בהגעה למדינה. כמו כן, יש להימנע מהגעה למערב המדינה ולמרחבים הסמוכים לגבולות המדינה עם אלג'יריה ולוב, לאור פעילות ארגוני טרור בשטחן.",פירוט
,המלצות משרדי החוץ והבריאות
תורכיה,מדינה
04,רמת אזהרה
אין להגיע למדינה זו ובמקרה של שהייה יש לעזוב את המדינה,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור חשש כי גורמי טרור ינסו לפגוע בישראלים השוהים בתורכיה, יש להימנע מנסיעות למדינה זו ובמקרה של שהייה יש לעזוב את המדינה",פירוט
,המלצות משרדי החוץ והבריאות
תורכמניסטן,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
תימן,מדינה
04,רמת אזהרה
חל איסור על הגעה,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור קיומן של תשתיות טרור ענפות במדינה (בדגש לחות'ים), מתקיים סיכון טרור חמור על כל אזרחי ישראל המבקרים/שוהים בתימן. זאת ועוד, על פי ""חוק ההסתננות"" נאסר על אזרחי תושבי לבקר במדינה זו.",פירוט
,המלצות משרדי החוץ והבריאות
