Country,Warning Level,Recommendation,The Threatened Area,Detail
Papua New Guinea,1,Regular precautionary measures,NA,No information available.
Macedonia,1,"""Normal precautions""",No information available,"""No information available"""
Chad,3,Avoid non-essential travel,Whole country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews residing in the country. In light of this, it is recommended to consider non-essential trips to this country."
Cuba,1,Regular precautionary measures,NA,No information available.
Colombia,1,Regular precautionary measures,NA,No information available.
Comoros,2,"""Exercise increased caution""",Entire country,"""Due to the ""Iron Swords"" conflict, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews wherever they are. Therefore, it is recommended for those staying in the country to take increased precautions."""
South Korea,1,"""Normal precautions""",No information available,"""No information available"""
Kazakhstan,3,Enhanced precautions,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews residing in the country. In light of this, it is recommended to consider non-essential travel to this country."
Kiribati,1,Regular precautions,NA,No information
Canada,1,Regular precautions,NA,No information
Kenya,02\03,"Moderate threat level (Level 3) - Avoid non-essential travel to the north and east of the country (border area with Somalia and coastal areas), due to the presence of Islamic terrorist organizations (Al-Shabaab in Somalia); Occasional threat (Level 2) - Take enhanced precautions in other parts of the country.",Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews where they are."
Croatia,1,Regular precautions,NA,No information
Russia,02\04,High threat level (Level 4) - Do not go to the North Caucasus region; Occasional threat (Level 2) - It is recommended to take enhanced precautions in other parts of the country.,Republics of Adygea, Chechnya
Turkmenistan,3,Avoid non-essential travel,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews residing in the country. In light of this, it is recommended to consider non-essential travel to this country."
Azerbaijan,2,Enhanced precautionary measures,Entire country,"Due to the concern about the existence of various terror infrastructures in Azerbaijan, there is a continuous potential threat to harm Israelis/Jews residing in the country."
The Bahamas,1,"""Normal cautionary measures""",No information available.,"""No information available."""
Seychelles,2,Enhanced precautionary measures,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews wherever they are. Therefore, residents in the country are advised to take enhanced precautionary measures."
Iran,4,Travel ban to the country,Entire country,"Given the deep-seated animosity towards Israel by the Iranian government and potential terrorist threats, there is a real risk to the security of Israelis visiting/residing in this country. Furthermore, according to the ""Infiltration Law,"" Israeli citizens are prohibited from visiting this country."
El Salvador,1,Normal precautions,None,No information available.
Ecuador,1,"""Normal cautionary measures""",No information available.,"""No information available."""
United States of America,1,"""Regular precautions""",No,"""No information,No"""
Bolivia,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Botswana,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Belarus,1,Normal Precautionary Measures,Not Applicable,No information available.
Belize,1,Normal Precautionary Measures,Not Applicable,"There is no travel warning in connection with terrorism in this country. However, due to the security situation in the country following ""Iron Blades,"" the Ministry of Foreign Affairs has issued recommendations for Israelis expected to visit the country. [Link](https://www.gov.il/en/departments/publications/reports/belize201123)"
Barbados,1,Normal Precautionary Measures,Not Applicable,No information available.
United Kingdom,2,"""Increased precautions""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in violence against Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Also, there is an increase in the motivation of terrorist elements to target Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take increased precautions."""
Ghana,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Guatemala,1,Normal Precautionary Measures,Not Applicable,No information available.
Equatorial Guinea,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Guinea Bissau,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Denmark,1,"""Normal cautionary measures""",,"""No information,nan"""
Haiti,1,"""Normal cautionary measures""",,"""No information,nan"""
Honduras,1,"""Regular Caution Measures""",,"""No information available,nan"""
Dominican Republic,1,"""Regular Caution Measures""",,"""No information available,nan"""
Vatican,1,"""Regular Caution Measures""",,"""No information available,nan"""
Vanuatu,1,Normal precautions,No information available,No information available
Zimbabwe,2,Heightened precautions,Throughout the country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews wherever they are. Therefore, it is recommended to exercise heightened precautions when staying in the country."
Taiwan,1,Normal precautions,No information available,No information available
Kuwait,4,Avoid arrival,Entire country,"Due to terrorist activities in the country, with an emphasis on radical Islamic organizations, there is a tangible threat to the safety of Israeli citizens residing in Kuwait."
Laos,1,Normal caution measures,Not available,No information
Latvia,1,Normal caution measures,Not available,No information
Mongolia,1,Regular precautions,None,No information
Montenegro,1,Regular precautions,None,No information
Micronesia,1,Regular precautions,None,No information
Malawi,2,Increased precautions,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motivation to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take increased precautions."
Malaysia,4,Avoid any visit/stay in the country,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motivation to harm Israelis/Jews residing in the country. Therefore, it is recommended not to visit this country."
Egypt,4,Do not go to this country,Entire country,"Due to concerns that terrorist elements will try to harm Israelis residing in Egypt, especially against the backdrop of the ""Swords of Iron"" war, it is advisable to avoid traveling to this country. In case of stay, it is recommended to leave the country."
Norway,1,Regular precautions,None,No information
New Zealand,1,Regular precautions,None,No information
Eswatini,2,Enhanced precautions,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced precautions."
Syria,4,Travel to Syria is prohibited,Entire country,"Due to the presence of terror elements in the country, notably Iran and Hezbollah, alongside the continued presence of global Jihad organizations, there is a severe and persistent threat to Israeli citizens visiting/staying in Syria. Furthermore, according to the ""Infiltration Law,"" Israeli residents are prohibited from visiting this country."
Sierra Leone,3,Avoid non-essential travel,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews residing in the country. Therefore, it is recommended to consider non-essential trips to this country."
Singapore,1,Normal precautions,No information available,No information available
Samoa,1,Normal precautions,No information available,No information available
San Marino,1,Normal precautions,No information available,No information available
Saint Lucia,1,Normal precautions,No information available,No information available
Saudi Arabia,3,Travel prohibition,Whole country,"Due to extreme terrorist infrastructure and deep public hostility towards Israel, there is a severe terrorist threat to all Israeli citizens visiting/staying in the country. Furthermore, according to the ""Infiltration Law,"" Israeli residents are prohibited from visiting this country."
Portugal,2,Enhanced precautionary measures,Whole country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take enhanced precautionary measures."
Panama,1,Regular precautionary measures,NA,No information available.
Pakistan,4,"""Avoid any visit""",Entire country,"""Due to the intense presence and activity of terrorist and extremist elements throughout Pakistan, alongside widespread hostility towards Israel, there is a real security risk to Israelis visiting/staying in this country."""
Paraguay,1,Regular precautionary measures,NA,No information available.
Kosovo,1,Regular precautionary measures,NA,No information available.
Romania,1,Regular precautions,NA,No information
Sweden,2,Enhanced precautions,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews where they are. Therefore, it is recommended for residents in the country to take enhanced precautions."
Thailand,01\04,High threat level (Level 4) - It is recommended to avoid travel to the south of the country (excluding the islands). No travel warning (Level 1) - It is recommended to take regular precautions in other areas of Thailand.,Provinces of Yala, Sungkla
Eritrea,3,Avoid non-essential travel,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Also, there is an increase in terrorist motivations to target Israelis/Jews residing in the country. In light of this, it is recommended to consider non-essential travel to this country."
Somaliland,4,"""Avoid travel""",Entire country,"""Due to ongoing terrorist threats in Somalia and deep-seated animosity towards Israel from the Muslim community, there is a tangible terrorist threat against Israelis visiting/staying in this country."""
New Caledonia,1,"""Normal precautions""",No information available,"""No information available"""
Puerto Rico,1,"""Regular Caution Measures""",,"""No information available"""
Northern Cyprus,1,"""Normal precautions""",No information available,"""Cyprus has no travel warning in the context of terrorism. However, the northern part of Cyprus is subject to a travel warning from the Ministry of Foreign Affairs, and it is recommended to update details for those planning to visit the northern part of Cyprus.,No information available"""
Israel,2,""" Exercise increased caution""",areas near borders,"""Due to the ongoing conflict and security concerns, it is advised to exercise increased caution when traveling to areas near borders. Be aware of the current situation and follow local authorities' guidance. It is recommended to stay informed about the latest developments and adjust travel plans accordingly."""
West Bank,3,"""Avoid non-essential travel""",various regions,"""Due to ongoing conflicts and security issues, it is strongly advised to avoid non-essential travel to various regions in the West Bank. The area faces heightened tensions, and there is a risk of incidents. Travelers are urged to stay informed about the situation, follow local authorities' guidance, and exercise extreme caution."""
